0 8.0981324
0.034 7.5623389
0.068 6.3617222
0.102 5.0924646
0.136 4.0160459
0.17 3.1635234
0.204 2.4966757
0.238 1.9710188
0.272 1.5507349
0.306 1.2094783
0.34 0.92828666
0.374 0.69348029
0.408 0.49507661
0.442 0.32568204
0.476 0.1797341
0.51 0.053217205
0.544 -0.057366406
0.578 -0.15464055
0.612 -0.24066903
0.646 -0.3171142
0.68 -0.38532919
0.714 -0.44642592
0.748 -0.5013259
0.782 -0.55079876
0.816 -0.59549189
0.85 -0.63595355
0.884 -0.67265115
0.918 -0.70598585
0.952 -0.73630428
0.986 -0.76374261
1.02 -0.788677
1.054 -0.81139366
1.088 -0.83210063
1.122 -0.85098302
1.156 -0.86820598
1.19 -0.883917
1.224 -0.89824781
1.258 -0.91131603
1.292 -0.92322672
1.326 -0.93407382
1.36 -0.94394151
1.394 -0.95290568
1.428 -0.96103509
1.462 -0.96827799
1.496 -0.97474055
1.53 -0.98054135
1.564 -0.985732
1.598 -0.99036058
1.632 -0.9944718
1.666 -0.99810692
1.7 -1.0013037
1.734 -1.0040965
1.768 -1.0065162
1.802 -1.0085906
1.836 -1.0103447
1.87 -1.0118011
1.904 -1.0129806
1.938 -1.0138211
1.972 -1.0143452
2.006 -1.0146459
2.04 -1.0147419
2.074 -1.0146513
2.108 -1.0143914
2.142 -1.0139783
2.176 -1.013427
2.21 -1.0127506
2.244 -1.0119611
2.278 -1.0110685
2.312 -1.0100815
2.346 -1.009008
2.38 -1.0078549
2.414 -1.0065652
2.448 -1.0051133
2.482 -1.0035991
2.516 -1.0020313
2.55 -1.0004182
2.584 -0.99876837
2.618 -0.99708962
2.652 -0.99538919
2.686 -0.99367328
2.72 -0.99194693
2.754 -0.99021411
2.788 -0.98847778
2.822 -0.98674019
2.856 -0.98500326
2.89 -0.98322598
2.924 -0.98134205
2.958 -0.97946197
2.992 -0.97759034
3.026 -0.9757321
3.06 -0.97389232
3.094 -0.97207581
3.128 -0.97028681
3.162 -0.96852867
3.196 -0.96680374
3.23 -0.96511331
3.264 -0.96345779
3.298 -0.96183698
3.332 -0.9602504
3.366 -0.95867083
3.4 -0.95698553
3.434 -0.95533103
3.468 -0.9537103
3.502 -0.95212679
3.536 -0.95058416
3.57 -0.94908589
3.604 -0.94763487
3.638 -0.94623309
3.672 -0.94488146
3.706 -0.9435798
3.74 -0.94232699
3.774 -0.94112126
3.808 -0.9399606
3.842 -0.93883504
3.876 -0.93757505
3.91 -0.93635284
3.944 -0.93517051
3.978 -0.93403078
4.012 -0.93293658
4.046 -0.93189068
4.08 -0.9308952
4.114 -0.92995129
4.148 -0.92905892
4.182 -0.92821687
4.216 -0.92742291
